actor_loss: -131.28123474121094, critic_loss: 1823.29443359375, r_mean: 1.1548399925231934e-07
actor_loss: 922.9381713867188, critic_loss: 43633.53125, r_mean: -1.1175870895385742e-08
actor_loss: 155.7547149658203, critic_loss: 2286.728759765625, r_mean: -5.4016709327697754e-08
actor_loss: -156.767822265625, critic_loss: 2594.7880859375, r_mean: -1.341104507446289e-07
actor_loss: -173.51194763183594, critic_loss: 2471.471923828125, r_mean: 1.2293457984924316e-07
actor_loss: -45.74932861328125, critic_loss: 144.92857360839844, r_mean: -3.762543201446533e-07
actor_loss: 146.5972442626953, critic_loss: 1055.27734375, r_mean: 6.705522537231445e-07
actor_loss: 123.61799621582031, critic_loss: 705.3446044921875, r_mean: 1.424923539161682e-07
actor_loss: -17.479122161865234, critic_loss: 20.2281551361084, r_mean: -1.648440957069397e-07
actor_loss: -110.0412826538086, critic_loss: 581.1173706054688, r_mean: 3.6135315895080566e-07
actor_loss: -60.92028045654297, critic_loss: 167.10244750976562, r_mean: -2.942979335784912e-07
actor_loss: 69.3759765625, critic_loss: 208.62905883789062, r_mean: -1.1175870895385742e-08
actor_loss: 88.11564636230469, critic_loss: 330.6079406738281, r_mean: 1.4901161193847656e-08
actor_loss: -9.279532432556152, critic_loss: 4.767579555511475, r_mean: -6.491318345069885e-07
actor_loss: -76.40789031982422, critic_loss: 262.7273254394531, r_mean: -3.650784492492676e-07
actor_loss: -54.29340362548828, critic_loss: 129.49896240234375, r_mean: -2.1420419216156006e-07
actor_loss: 22.00146484375, critic_loss: 22.9377384185791, r_mean: 4.66126948595047e-07
actor_loss: 67.64302825927734, critic_loss: 188.82569885253906, r_mean: -4.3958425521850586e-07
actor_loss: 39.27285385131836, critic_loss: 64.2007827758789, r_mean: -5.140900611877441e-07
actor_loss: -22.730854034423828, critic_loss: 24.06668472290039, r_mean: -2.905726432800293e-07
actor_loss: -57.67100524902344, critic_loss: 139.2684783935547, r_mean: 2.6263296604156494e-07
actor_loss: -30.51371192932129, critic_loss: 40.38233184814453, r_mean: 1.341104507446289e-07
actor_loss: 24.79540252685547, critic_loss: 25.955842971801758, r_mean: 3.725290298461914e-07
actor_loss: 51.931640625, critic_loss: 103.61154174804688, r_mean: 2.0116567611694336e-07
actor_loss: 22.16547393798828, critic_loss: 21.574996948242188, r_mean: -5.755573511123657e-07
actor_loss: -25.040393829345703, critic_loss: 26.684139251708984, r_mean: -2.9616057872772217e-07
actor_loss: -42.90525436401367, critic_loss: 74.43280029296875, r_mean: 3.241002559661865e-07
actor_loss: -16.88417625427246, critic_loss: 12.389057159423828, r_mean: 3.241002559661865e-07
actor_loss: 23.534534454345703, critic_loss: 21.814321517944336, r_mean: 3.03611159324646e-07
actor_loss: 37.00522232055664, critic_loss: 51.291282653808594, r_mean: 1.4901161193847656e-07
actor_loss: 13.283365249633789, critic_loss: 8.006184577941895, r_mean: 7.264316082000732e-08
actor_loss: -21.078144073486328, critic_loss: 18.66716957092285, r_mean: 2.868473529815674e-07
actor_loss: -31.491140365600586, critic_loss: 39.98496627807617, r_mean: 1.30385160446167e-08
actor_loss: -8.352389335632324, critic_loss: 3.7775096893310547, r_mean: 2.1047890186309814e-07
actor_loss: 20.032907485961914, critic_loss: 17.341405868530273, r_mean: 4.284083843231201e-07
actor_loss: 25.246461868286133, critic_loss: 25.22404670715332, r_mean: 8.940696716308594e-07
actor_loss: 4.847972869873047, critic_loss: 2.115142822265625, r_mean: 2.905726432800293e-07
actor_loss: -19.19022560119629, critic_loss: 15.305204391479492, r_mean: 1.2032687664031982e-06
actor_loss: -20.334714889526367, critic_loss: 17.28885269165039, r_mean: 2.905726432800293e-07
actor_loss: -0.6540712118148804, critic_loss: 1.3812859058380127, r_mean: -3.073364496231079e-07
actor_loss: 18.529552459716797, critic_loss: 13.89212417602539, r_mean: -2.2351741790771484e-08
actor_loss: 15.384373664855957, critic_loss: 9.880876541137695, r_mean: 4.675239324569702e-07
actor_loss: -3.369515895843506, critic_loss: 1.5042724609375, r_mean: 4.507601261138916e-07
actor_loss: -16.51263999938965, critic_loss: 10.9782133102417, r_mean: 3.3527612686157227e-08
